timestamp,busErrorCount,framesPerSec,errorsPerSec,id10_count,id10_ageSec,id10_status,id1_count,id1_ageSec,id1_status,id7_count,id7_ageSec,id7_status,id4_count,id4_ageSec,id4_status,id2_count,id2_ageSec,id2_status,id5_count,id5_ageSec,id5_status,id8_count,id8_ageSec,id8_status,id11_count,id11_ageSec,id11_status,id12_count,id12_ageSec,id12_status,id3_count,id3_ageSec,id3_status,id9_count,id9_ageSec,id9_status,id6_count,id6_ageSec,id6_status,group_neos_seen,group_neos_missing,group_krakens_seen,group_krakens_missing,group_cancoders_seen,group_cancoders_missing
1771632610.743,0,0.00,0.00,1,0.000,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632611.743,0,567.96,0.00,107,0.005,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632612.746,0,0.00,0.00,213,0.008,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632613.748,0,566.61,0.00,319,0.009,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632614.750,0,1.00,0.00,425,0.011,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632615.750,0,568.93,0.00,531,0.012,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632616.751,0,1.00,0.00,637,0.012,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632617.751,0,568.74,0.00,743,0.012,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632618.751,0,2.00,0.00,849,0.012,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632619.751,0,569.89,0.00,955,0.012,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632620.752,0,1.00,0.00,1061,0.010,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632621.752,0,568.62,0.00,1167,0.013,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632622.753,0,2.00,0.00,1273,0.014,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632623.753,0,570.98,0.00,1379,0.014,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632624.754,0,5.00,0.00,1485,0.014,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632625.755,0,571.80,0.00,1591,0.014,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632626.755,0,5.00,0.00,1697,0.014,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
1771632627.755,0,572.77,0.00,1804,0.000,OK,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,0,,MISSING,1,3,0,4,0,4,0,1,0,1
